GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaddem,tn.esprit.spring.kaddem,KaddemApplication,8,0,0,0,3,0,2,0,2,0
kaddem,tn.esprit.spring.kaddem.controllers,DepartementRestController,30,0,0,0,7,0,6,0,6,0
kaddem,tn.esprit.spring.kaddem.controllers,EquipeRestController,34,0,0,0,9,0,7,0,7,0
kaddem,tn.esprit.spring.kaddem.controllers,UniversiteRestController,41,0,0,0,10,0,8,0,8,0
kaddem,tn.esprit.spring.kaddem.controllers,ContratRestController,53,0,0,0,12,0,10,0,10,0
kaddem,tn.esprit.spring.kaddem.controllers,EtudiantRestController,48,0,0,0,11,0,9,0,9,0
kaddem,tn.esprit.spring.kaddem.entities,Universite,39,0,0,0,18,0,9,0,9,0
kaddem,tn.esprit.spring.kaddem.entities,Niveau,34,0,0,0,2,0,1,0,1,0
kaddem,tn.esprit.spring.kaddem.entities,Contrat,107,0,0,0,39,0,18,0,18,0
kaddem,tn.esprit.spring.kaddem.entities,DetailEquipe,52,0,0,0,23,0,11,0,11,0
kaddem,tn.esprit.spring.kaddem.entities,Option,44,0,0,0,2,0,1,0,1,0
kaddem,tn.esprit.spring.kaddem.entities,Equipe,98,0,0,0,42,0,16,0,16,0
kaddem,tn.esprit.spring.kaddem.entities,Departement,27,12,0,0,13,5,7,2,7,2
kaddem,tn.esprit.spring.kaddem.entities,Etudiant,88,0,0,0,38,0,18,0,18,0
kaddem,tn.esprit.spring.kaddem.entities,Specialite,44,0,0,0,2,0,1,0,1,0
kaddem,tn.esprit.spring.kaddem.services,EquipeServiceImpl,177,0,26,0,43,0,24,0,11,0
kaddem,tn.esprit.spring.kaddem.services,ContratServiceImpl,268,0,26,0,59,0,24,0,11,0
kaddem,tn.esprit.spring.kaddem.services,UniversiteServiceImpl,89,0,6,0,21,0,11,0,8,0
kaddem,tn.esprit.spring.kaddem.services,EtudiantServiceImpl,126,0,10,0,30,0,15,0,10,0
kaddem,tn.esprit.spring.kaddem.services,DepartementServiceImpl,2,48,1,1,1,13,1,7,0,7
